created_at,cutoff_date,iterations,early_stopping_rounds,depth,learning_rate,l2_leaf_reg,random_strength,accuracy,precision,recall,f1,roc_auc,brier
2025-11-13T15:01:14.286830+00:00,2025-05-25,500,100,5,0.03,3.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7304361274358181,0.2124023653453005
2025-11-13T15:01:22.234498+00:00,2025-05-25,500,100,5,0.03,5.0,1.0,0.6403508771929824,0.65625,0.6885245901639344,0.672,0.7196102690999072,0.2127779718699488
2025-11-13T15:01:26.927104+00:00,2025-05-25,500,100,5,0.03,8.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7301268171976492,0.2124102675117279
2025-11-13T15:01:35.968642+00:00,2025-05-25,500,100,5,0.04,3.0,1.0,0.6491228070175439,0.6567164179104478,0.7213114754098361,0.6875,0.7375502629137024,0.2085142517869071
2025-11-13T15:01:41.553701+00:00,2025-05-25,500,100,5,0.04,5.0,1.0,0.6578947368421053,0.6617647058823529,0.7377049180327869,0.6976744186046512,0.723012681719765,0.212249008209816
2025-11-13T15:01:46.255337+00:00,2025-05-25,500,100,5,0.04,8.0,1.0,0.6842105263157895,0.676056338028169,0.7868852459016393,0.7272727272727273,0.7350757810083514,0.2108415776721478
2025-11-13T15:01:50.005273+00:00,2025-05-25,500,100,5,0.05,3.0,1.0,0.6666666666666666,0.6575342465753424,0.7868852459016393,0.7164179104477612,0.7347664707701824,0.209709689213208
2025-11-13T15:01:53.745954+00:00,2025-05-25,500,100,5,0.05,5.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7295081967213115,0.2118518429595087
2025-11-13T15:01:57.124897+00:00,2025-05-25,500,100,5,0.05,8.0,1.0,0.6842105263157895,0.676056338028169,0.7868852459016393,0.7272727272727273,0.7295081967213115,0.2124491474460563
2025-11-13T15:02:07.946771+00:00,2025-05-25,500,100,8,0.03,3.0,1.0,0.6140350877192983,0.639344262295082,0.639344262295082,0.639344262295082,0.6982678626662543,0.2164681646440071
2025-11-13T15:02:16.325930+00:00,2025-05-25,500,100,8,0.03,5.0,1.0,0.6052631578947368,0.6333333333333333,0.6229508196721312,0.628099173553719,0.6973399319517476,0.2188349471637204
2025-11-13T15:02:23.814603+00:00,2025-05-25,500,100,8,0.03,8.0,1.0,0.6228070175438597,0.6551724137931034,0.6229508196721312,0.6386554621848739,0.7063099288586453,0.2178824620510556
2025-11-13T15:02:38.090309+00:00,2025-05-25,500,100,8,0.04,3.0,1.0,0.6666666666666666,0.6666666666666666,0.7540983606557377,0.7076923076923077,0.7131147540983607,0.2141067089303282
2025-11-13T15:02:42.964997+00:00,2025-05-25,500,100,8,0.04,5.0,1.0,0.6578947368421053,0.6774193548387096,0.6885245901639344,0.6829268292682927,0.7060006186204763,0.2179019207968812
2025-11-13T15:02:48.068423+00:00,2025-05-25,500,100,8,0.04,8.0,1.0,0.6140350877192983,0.6440677966101694,0.6229508196721312,0.6333333333333333,0.7140426848128674,0.2171796018213324
2025-11-13T15:02:52.800750+00:00,2025-05-25,500,100,8,0.05,3.0,1.0,0.6491228070175439,0.6842105263157895,0.639344262295082,0.6610169491525424,0.7186823383854005,0.2158572201171055
2025-11-13T15:02:57.324381+00:00,2025-05-25,500,100,8,0.05,5.0,1.0,0.6140350877192983,0.6440677966101694,0.6229508196721312,0.6333333333333333,0.7162078564800495,0.2191164132516999
2025-11-13T15:03:01.547634+00:00,2025-05-25,500,100,8,0.05,8.0,1.0,0.6666666666666666,0.6825396825396826,0.7049180327868853,0.6935483870967742,0.720228889576245,0.2183795335426259
2025-11-13T15:03:09.385898+00:00,2025-05-25,500,100,11,0.03,3.0,1.0,0.631578947368421,0.6507936507936508,0.6721311475409836,0.6612903225806451,0.6818744200433033,0.2245478178458595
2025-11-13T15:03:17.140448+00:00,2025-05-25,500,100,11,0.03,5.0,1.0,0.631578947368421,0.6666666666666666,0.6229508196721312,0.6440677966101694,0.6880606248066811,0.2227140792034309
2025-11-13T15:03:25.518381+00:00,2025-05-25,500,100,11,0.03,8.0,1.0,0.6491228070175439,0.6779661016949152,0.6557377049180327,0.6666666666666666,0.6772347664707701,0.2217784155514983
2025-11-13T15:03:33.167259+00:00,2025-05-25,500,100,11,0.04,3.0,1.0,0.6228070175438597,0.640625,0.6721311475409836,0.656,0.6753789050417569,0.2247720801775768
2025-11-13T15:03:50.156277+00:00,2025-05-25,500,100,11,0.04,5.0,1.0,0.5877192982456141,0.6206896551724138,0.5901639344262295,0.6050420168067226,0.6868233838540057,0.2230757993288276
2025-11-13T15:03:58.052303+00:00,2025-05-25,500,100,11,0.04,8.0,1.0,0.6403508771929824,0.6666666666666666,0.6557377049180327,0.6611570247933884,0.712186823383854,0.2190607496129369
2025-11-13T15:04:05.261353+00:00,2025-05-25,500,100,11,0.05,3.0,1.0,0.6228070175438597,0.640625,0.6721311475409836,0.656,0.6877513145685122,0.2221748714111772
2025-11-13T15:04:12.528527+00:00,2025-05-25,500,100,11,0.05,5.0,1.0,0.631578947368421,0.6507936507936508,0.6721311475409836,0.6612903225806451,0.6753789050417569,0.2258614311274324
2025-11-13T15:04:23.885916+00:00,2025-05-25,500,100,11,0.05,8.0,1.0,0.6052631578947368,0.625,0.6557377049180327,0.64,0.677853386947108,0.2217922424432376
2025-11-13T15:04:41.774076+00:00,2025-05-25,500,100,13,0.03,3.0,1.0,0.5877192982456141,0.6060606060606061,0.6557377049180327,0.6299212598425197,0.6314568512217754,0.2318427297919187
2025-11-13T15:05:04.505463+00:00,2025-05-25,500,100,13,0.03,5.0,1.0,0.6140350877192983,0.6307692307692307,0.6721311475409836,0.6507936507936508,0.6729044231364059,0.2244051667271465
2025-11-13T15:05:24.245577+00:00,2025-05-25,500,100,13,0.03,8.0,1.0,0.6228070175438597,0.640625,0.6721311475409836,0.656,0.7066192390968141,0.2183855517242628
2025-11-13T15:05:40.832425+00:00,2025-05-25,500,100,13,0.04,3.0,1.0,0.6140350877192983,0.6307692307692307,0.6721311475409836,0.6507936507936508,0.6741416640890814,0.2260834287675047
2025-11-13T15:05:55.963956+00:00,2025-05-25,500,100,13,0.04,5.0,1.0,0.6403508771929824,0.6515151515151515,0.7049180327868853,0.6771653543307087,0.6831116609959791,0.2250893163482037
2025-11-13T15:06:11.849387+00:00,2025-05-25,500,100,13,0.04,8.0,1.0,0.631578947368421,0.6461538461538462,0.6885245901639344,0.6666666666666666,0.68836993504485,0.2234784547814096
2025-11-13T15:06:29.851912+00:00,2025-05-25,500,100,13,0.05,3.0,1.0,0.6666666666666666,0.6666666666666666,0.7540983606557377,0.7076923076923077,0.6821837302814724,0.2251839089952298
2025-11-13T15:06:45.511056+00:00,2025-05-25,500,100,13,0.05,5.0,1.0,0.6052631578947368,0.6142857142857143,0.7049180327868853,0.6564885496183206,0.6880606248066811,0.2238210146765513
2025-11-13T15:07:02.548068+00:00,2025-05-25,500,100,13,0.05,8.0,1.0,0.631578947368421,0.6507936507936508,0.6721311475409836,0.6612903225806451,0.6673368388493658,0.2237202853420571
2025-11-13T15:07:09.045388+00:00,2025-05-25,500,200,5,0.03,3.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7304361274358181,0.2124023653453005
2025-11-13T15:07:19.684387+00:00,2025-05-25,500,200,5,0.03,5.0,1.0,0.6052631578947368,0.6333333333333333,0.6229508196721312,0.628099173553719,0.7189916486235695,0.2130593233548703
2025-11-13T15:07:26.569814+00:00,2025-05-25,500,200,5,0.03,8.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7301268171976492,0.2124102675117279
2025-11-13T15:07:37.255615+00:00,2025-05-25,500,200,5,0.04,3.0,1.0,0.6491228070175439,0.6567164179104478,0.7213114754098361,0.6875,0.7375502629137024,0.2085142517869071
2025-11-13T15:07:45.074849+00:00,2025-05-25,500,200,5,0.04,5.0,1.0,0.6578947368421053,0.6617647058823529,0.7377049180327869,0.6976744186046512,0.723012681719765,0.212249008209816
2025-11-13T15:07:51.927718+00:00,2025-05-25,500,200,5,0.04,8.0,1.0,0.6842105263157895,0.676056338028169,0.7868852459016393,0.7272727272727273,0.7350757810083514,0.2108415776721478
2025-11-13T15:07:57.880024+00:00,2025-05-25,500,200,5,0.05,3.0,1.0,0.6666666666666666,0.6575342465753424,0.7868852459016393,0.7164179104477612,0.7347664707701824,0.209709689213208
2025-11-13T15:08:03.776464+00:00,2025-05-25,500,200,5,0.05,5.0,1.0,0.6754385964912281,0.6764705882352942,0.7540983606557377,0.7131782945736435,0.7295081967213115,0.2118518429595087
2025-11-13T15:08:09.286126+00:00,2025-05-25,500,200,5,0.05,8.0,1.0,0.6842105263157895,0.676056338028169,0.7868852459016393,0.7272727272727273,0.7295081967213115,0.2124491474460563
2025-11-13T15:08:23.752510+00:00,2025-05-25,500,200,8,0.03,3.0,1.0,0.6140350877192983,0.639344262295082,0.639344262295082,0.639344262295082,0.6982678626662543,0.2164681646440071
2025-11-13T15:08:36.006631+00:00,2025-05-25,500,200,8,0.03,5.0,1.0,0.6052631578947368,0.6333333333333333,0.6229508196721312,0.628099173553719,0.6973399319517476,0.2188349471637204
2025-11-13T15:08:47.181587+00:00,2025-05-25,500,200,8,0.03,8.0,1.0,0.6228070175438597,0.6551724137931034,0.6229508196721312,0.6386554621848739,0.7063099288586453,0.2178824620510556
