split,game_id,game_date,team_blue,team_red,winning_team,top_blue,jgl_blue,mid_blue,adc_blue,sup_blue,top_red,jgl_red,mid_red,adc_red,sup_red
LEC 2025 Summer Season,70722,2025-08-10,Movistar KOI,Karmine Corp,Movistar KOI,Ambessa,Poppy,Taliyah,Sivir,Rakan,Sion,Xin Zhao,Annie,Jinx,Lulu
LEC 2025 Summer Season,70723,2025-08-10,Karmine Corp,Movistar KOI,Karmine Corp,KSante,Vi,Viktor,Corki,Neeko,Ornn,Pantheon,Orianna,Xayah,Rell
LEC 2025 Summer Season,70719,2025-08-10,Fnatic,Team BDS,Fnatic,Yorick,Poppy,Azir,Yunara,Neeko,Jayce,Sejuani,Taliyah,Smolder,Karma
LEC 2025 Summer Season,70716,2025-08-09,Movistar KOI,GIANTX,Movistar KOI,Sion,Pantheon,Galio,Ezreal,Rakan,Chogath,Xin Zhao,Orianna,Xayah,Rell
LEC 2025 Summer Season,70717,2025-08-09,GIANTX,Movistar KOI,Movistar KOI,Rumble,Maokai,Yone,Jhin,Bard,Ornn,Poppy,Ryze,Aphelios,Alistar
LEC 2025 Summer Season,70713,2025-08-09,G2 Esports,Team Heretics,G2 Esports,Jax,Pantheon,Orianna,Caitlyn,Bard,Gragas,Xin Zhao,Viktor,Miss Fortune,Rakan
LEC 2025 Summer Season,70380,2025-08-04,Team Vitality,GIANTX,GIANTX,Ornn,Trundle,Viktor,Jhin,Bard,Rumble,Wukong,Orianna,Sivir,Rakan
LEC 2025 Summer Season,70377,2025-08-04,SK Gaming,Fnatic,Fnatic,KSante,Xin Zhao,Taliyah,Lucian,Rakan,Jayce,Maokai,Yone,Ezreal,Bard
LEC 2025 Summer Season,70374,2025-08-03,GIANTX,Karmine Corp,GIANTX,Sion,Xin Zhao,Annie,Jinx,Rell,KSante,Pantheon,Aurora,Aphelios,Thresh
LEC 2025 Summer Season,70375,2025-08-03,Karmine Corp,GIANTX,Karmine Corp,Galio,Skarner,Azir,Xayah,Rakan,Rumble,Vi,Sylas,Corki,Nautilus
LEC 2025 Summer Season,70371,2025-08-03,SK Gaming,Team BDS,Team BDS,Ambessa,Pantheon,Ryze,Kaisa,Leona,Jayce,Sejuani,Viktor,Aphelios,Braum
LEC 2025 Summer Season,70368,2025-08-02,Team Heretics,Fnatic,Team Heretics,Camille,Sejuani,Ryze,Aphelios,Thresh,Ambessa,Pantheon,Annie,Lucian,Braum
