split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC 2025 Summer Playoffs,72644,2025-09-28,Movistar KOI,G2 Esports,G2 Esports,1703,-11900,-2810
LEC 2025 Summer Playoffs,72634,2025-09-27,Fnatic,Movistar KOI,Fnatic,1957,9200,742
LEC 2025 Summer Playoffs,72635,2025-09-27,Movistar KOI,Fnatic,Movistar KOI,2049,12700,536
LEC 2025 Summer Playoffs,72636,2025-09-27,Fnatic,Movistar KOI,Movistar KOI,1815,-13000,-1640
LEC 2025 Summer Playoffs,72492,2025-09-26,Karmine Corp,Fnatic,Fnatic,2002,-10000,-1966
LEC 2025 Summer Playoffs,72493,2025-09-26,Karmine Corp,Fnatic,Karmine Corp,2217,300,-1014
LEC 2025 Summer Playoffs,72494,2025-09-26,Fnatic,Karmine Corp,Fnatic,1841,7100,3228
LEC 2025 Summer Playoffs,72363,2025-09-15,GIANTX,Fnatic,Fnatic,1781,-16800,-712
LEC 2025 Summer Playoffs,72364,2025-09-15,GIANTX,Fnatic,Fnatic,2017,-11700,-1379
LEC 2025 Summer Playoffs,72368,2025-09-14,Movistar KOI,G2 Esports,G2 Esports,2125,-1000,981
LEC 2025 Summer Playoffs,72369,2025-09-14,Movistar KOI,G2 Esports,Movistar KOI,1750,7200,226
LEC 2025 Summer Playoffs,72370,2025-09-14,G2 Esports,Movistar KOI,G2 Esports,1838,9600,2859
LEC 2025 Summer Playoffs,72358,2025-09-13,Karmine Corp,Team Vitality,Karmine Corp,2245,10500,-202
LEC 2025 Summer Playoffs,72359,2025-09-13,Team Vitality,Karmine Corp,Karmine Corp,1742,-10500,-241
LEC 2025 Summer Playoffs,72360,2025-09-13,Team Vitality,Karmine Corp,Karmine Corp,2372,-13600,-60
LEC 2025 Summer Playoffs,71857,2025-09-08,Movistar KOI,Fnatic,Movistar KOI,1858,10100,358
LEC 2025 Summer Playoffs,71858,2025-09-08,Fnatic,Movistar KOI,Movistar KOI,2119,-11900,-964
LEC 2025 Summer Playoffs,71859,2025-09-08,Fnatic,Movistar KOI,Fnatic,1819,3900,-4329
LEC 2025 Summer Playoffs,71860,2025-09-08,Movistar KOI,Fnatic,Movistar KOI,2197,10700,3369
LEC 2025 Summer Playoffs,71852,2025-09-07,Karmine Corp,G2 Esports,G2 Esports,1767,-8900,795
LEC 2025 Summer Playoffs,71853,2025-09-07,Karmine Corp,G2 Esports,G2 Esports,1757,-6400,227
LEC 2025 Summer Playoffs,71854,2025-09-07,G2 Esports,Karmine Corp,G2 Esports,1910,10100,3877
LEC 2025 Summer Playoffs,71847,2025-09-06,Team BDS,GIANTX,GIANTX,2020,-14900,-1915
LEC 2025 Summer Playoffs,71848,2025-09-06,GIANTX,Team BDS,GIANTX,1895,10900,1800
LEC 2025 Summer Playoffs,71842,2025-09-05,Team Vitality,Team Heretics,Team Vitality,1771,10000,514
LEC 2025 Summer Playoffs,71843,2025-09-05,Team Heretics,Team Vitality,Team Vitality,1641,-6700,-1117
LEC 2025 Summer Playoffs,71844,2025-09-05,Team Heretics,Team Vitality,Team Vitality,1927,-8100,-3688
