split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Season Finals 2023,53425,2023-09-10,G2 Esports,Fnatic,G2 Esports,1416,16100,6178
LEC Season Finals 2023,53418,2023-09-09,Movistar KOI,Fnatic,Fnatic,2175,-14900,-584
LEC Season Finals 2023,53419,2023-09-09,Movistar KOI,Fnatic,Movistar KOI,1576,13500,-13
LEC Season Finals 2023,53420,2023-09-09,Fnatic,Movistar KOI,Movistar KOI,1556,-6900,1681
LEC Season Finals 2023,53421,2023-09-09,Fnatic,Movistar KOI,Fnatic,1929,8100,2216
LEC Season Finals 2023,53373,2023-09-03,Movistar KOI,G2 Esports,Movistar KOI,1638,12200,3867
LEC Season Finals 2023,53374,2023-09-03,G2 Esports,Movistar KOI,G2 Esports,1897,6500,-452
LEC Season Finals 2023,53375,2023-09-03,Movistar KOI,G2 Esports,G2 Esports,1733,-8900,-1169
LEC Season Finals 2023,53368,2023-09-02,Fnatic,Team BDS,Fnatic,1570,10800,4752
LEC Season Finals 2023,53369,2023-09-02,Team BDS,Fnatic,Fnatic,1982,-8500,-434
LEC Season Finals 2023,53370,2023-09-02,Team BDS,Fnatic,Team BDS,2092,6200,120
LEC Season Finals 2023,53371,2023-09-02,Fnatic,Team BDS,Fnatic,1932,10300,1563
LEC Season Finals 2023,53294,2023-08-27,GIANTX,Fnatic,GIANTX,1529,12200,5814
LEC Season Finals 2023,53295,2023-08-27,Fnatic,GIANTX,GIANTX,1637,-9300,2045
LEC Season Finals 2023,53296,2023-08-27,Fnatic,GIANTX,Fnatic,1762,11400,2153
LEC Season Finals 2023,53297,2023-08-27,GIANTX,Fnatic,Fnatic,1891,-10700,-818
LEC Season Finals 2023,53289,2023-08-26,SK Gaming,Team BDS,Team BDS,1559,-7700,-471
LEC Season Finals 2023,53290,2023-08-26,SK Gaming,Team BDS,Team BDS,2150,-7300,1105
LEC Season Finals 2023,52619,2023-08-20,Team BDS,G2 Esports,Team BDS,1588,11000,4119
LEC Season Finals 2023,52620,2023-08-20,G2 Esports,Team BDS,G2 Esports,1393,12600,4900
LEC Season Finals 2023,52621,2023-08-20,Team BDS,G2 Esports,G2 Esports,2060,-4800,1726
LEC Season Finals 2023,52614,2023-08-19,GIANTX,Movistar KOI,Movistar KOI,2484,1700,5541
LEC Season Finals 2023,52615,2023-08-19,GIANTX,Movistar KOI,Movistar KOI,1873,-9400,-2809
LEC Winter Season 2024,54236,2024-01-29,SK Gaming,G2 Esports,G2 Esports,1676,-12900,-3843
LEC Winter Season 2024,54235,2024-01-29,Fnatic,Team Heretics,Fnatic,1926,14100,1861
LEC Winter Season 2024,54234,2024-01-29,Team BDS,Karmine Corp,Karmine Corp,1640,-11600,-634
LEC Winter Season 2024,54233,2024-01-29,GIANTX,Natus Vincere,GIANTX,2104,8300,-2441
LEC Winter Season 2024,54232,2024-01-29,Team Vitality,Movistar KOI,Movistar KOI,1940,-6400,2164
LEC Winter Season 2024,54231,2024-01-28,Natus Vincere,Team BDS,Team BDS,2363,-8900,732
LEC Winter Season 2024,54230,2024-01-28,Karmine Corp,SK Gaming,Karmine Corp,1648,9100,1431
LEC Winter Season 2024,54229,2024-01-28,Fnatic,G2 Esports,G2 Esports,2380,-7600,-1304
LEC Winter Season 2024,54228,2024-01-28,GIANTX,Movistar KOI,GIANTX,1913,10000,-1123
LEC Winter Season 2024,54227,2024-01-28,Team Heretics,Team Vitality,Team Vitality,2963,-1500,312
LEC Winter Season 2024,54226,2024-01-27,Natus Vincere,Karmine Corp,Natus Vincere,1868,10300,-136
LEC Winter Season 2024,54225,2024-01-27,G2 Esports,GIANTX,G2 Esports,1580,10800,-430
LEC Winter Season 2024,54224,2024-01-27,Movistar KOI,Fnatic,Movistar KOI,2367,5600,14
LEC Winter Season 2024,54223,2024-01-27,Team BDS,Team Heretics,Team BDS,1834,9200,-1214
LEC Winter Season 2024,54222,2024-01-27,SK Gaming,Team Vitality,SK Gaming,1999,11800,2081
LEC Winter Season 2024,53881,2024-01-22,Team Heretics,Karmine Corp,Team Heretics,1868,12000,949
LEC Winter Season 2024,53880,2024-01-22,Team Vitality,G2 Esports,Team Vitality,1913,11800,-621
LEC Winter Season 2024,53879,2024-01-22,Movistar KOI,Natus Vincere,Movistar KOI,1564,11100,1868
LEC Winter Season 2024,53878,2024-01-22,Fnatic,GIANTX,Fnatic,1688,11100,291
LEC Winter Season 2024,53877,2024-01-22,SK Gaming,Team BDS,Team BDS,1749,-10300,1389
LEC Winter Season 2024,53876,2024-01-21,Karmine Corp,Team Vitality,Team Vitality,2420,-6100,250
LEC Winter Season 2024,53875,2024-01-21,GIANTX,SK Gaming,SK Gaming,1628,-7800,2430
LEC Winter Season 2024,53874,2024-01-21,G2 Esports,Team Heretics,G2 Esports,1699,15700,1134
LEC Winter Season 2024,53873,2024-01-21,Natus Vincere,Fnatic,Fnatic,1854,-7000,-1615
LEC Winter Season 2024,53872,2024-01-21,Movistar KOI,Team BDS,Team BDS,1974,-16500,-1608
LEC Winter Season 2024,53871,2024-01-20,Karmine Corp,GIANTX,GIANTX,2144,-11800,-944
LEC Winter Season 2024,53870,2024-01-20,Team BDS,Fnatic,Team BDS,1677,9600,-171
LEC Winter Season 2024,53869,2024-01-20,G2 Esports,Movistar KOI,G2 Esports,1883,7400,-944
LEC Winter Season 2024,53868,2024-01-20,Team Heretics,SK Gaming,Team Heretics,1870,14000,592
LEC Winter Season 2024,53867,2024-01-20,Team Vitality,Natus Vincere,Team Vitality,1722,6900,1261
LEC Winter Season 2024,53793,2024-01-15,SK Gaming,Fnatic,SK Gaming,1905,6600,1415
LEC Winter Season 2024,53792,2024-01-15,Karmine Corp,Movistar KOI,Movistar KOI,2042,-5700,2227
LEC Winter Season 2024,53791,2024-01-15,Team Heretics,GIANTX,Team Heretics,2042,15100,2682
LEC Winter Season 2024,53790,2024-01-15,G2 Esports,Natus Vincere,Natus Vincere,2260,-6500,-901
LEC Winter Season 2024,53789,2024-01-15,Team Vitality,Team BDS,Team BDS,1771,-10600,1494
LEC Winter Season 2024,53788,2024-01-14,Natus Vincere,Team Heretics,Team Heretics,1896,-11800,-927
LEC Winter Season 2024,53787,2024-01-14,Fnatic,Team Vitality,Fnatic,1781,11400,2567
LEC Winter Season 2024,53786,2024-01-14,G2 Esports,Karmine Corp,G2 Esports,1925,4100,384
LEC Winter Season 2024,53785,2024-01-14,Movistar KOI,SK Gaming,SK Gaming,1849,-11600,-475
LEC Winter Season 2024,53784,2024-01-14,GIANTX,Team BDS,Team BDS,2134,-9000,639
LEC Winter Season 2024,53701,2024-01-13,Movistar KOI,Team Heretics,Movistar KOI,1657,17400,3709
LEC Winter Season 2024,53700,2024-01-13,Team Vitality,GIANTX,GIANTX,1964,-4700,-1937
LEC Winter Season 2024,53699,2024-01-13,Karmine Corp,Fnatic,Fnatic,2370,-10900,206
LEC Winter Season 2024,53698,2024-01-13,Natus Vincere,SK Gaming,SK Gaming,2080,-12900,-587
LEC Winter Season 2024,53697,2024-01-13,Team BDS,G2 Esports,G2 Esports,1749,-5100,1145
LEC Winter Playoffs 2024,55603,2024-02-18,G2 Esports,Movistar KOI,Movistar KOI,1796,-10000,-1708
LEC Winter Playoffs 2024,55563,2024-02-17,Team BDS,Movistar KOI,Movistar KOI,1916,-9800,453
LEC Winter Playoffs 2024,55354,2024-02-16,Movistar KOI,Fnatic,Movistar KOI,1893,8200,199
LEC Winter Playoffs 2024,55295,2024-02-12,SK Gaming,Fnatic,SK Gaming,2585,7400,-1636
LEC Winter Playoffs 2024,55292,2024-02-12,Movistar KOI,Team Vitality,Movistar KOI,1626,11900,1353
LEC Winter Playoffs 2024,55287,2024-02-11,G2 Esports,Team BDS,G2 Esports,2103,10700,-955
LEC Winter Playoffs 2024,55035,2024-02-10,SK Gaming,Team Heretics,Team Heretics,1865,-9800,2950
LEC Winter Playoffs 2024,55032,2024-02-10,Movistar KOI,GIANTX,Movistar KOI,1387,12300,3410
LEC Winter Playoffs 2024,55041,2024-02-05,G2 Esports,Fnatic,G2 Esports,1924,13500,2404
LEC Winter Playoffs 2024,55038,2024-02-05,Team BDS,Team Vitality,Team BDS,1768,10000,447
LEC Winter Playoffs 2024,54702,2024-02-04,Movistar KOI,Fnatic,Fnatic,1635,-10900,-1873
LEC Winter Playoffs 2024,54699,2024-02-04,SK Gaming,Team Vitality,Team Vitality,1602,-16100,-4675
LEC Winter Playoffs 2024,54696,2024-02-03,G2 Esports,GIANTX,G2 Esports,1928,11500,-893
LEC Winter Playoffs 2024,54693,2024-02-03,Team BDS,Team Heretics,Team BDS,1917,13800,1963
LEC Winter Playoffs 2024,55604,2024-02-18,G2 Esports,Movistar KOI,G2 Esports,1681,14200,2354
LEC Winter Playoffs 2024,55605,2024-02-18,Movistar KOI,G2 Esports,G2 Esports,2019,-13000,1053
LEC Winter Playoffs 2024,55606,2024-02-18,Movistar KOI,G2 Esports,G2 Esports,1989,-9900,483
LEC Winter Playoffs 2024,55564,2024-02-17,Team BDS,Movistar KOI,Movistar KOI,1710,-8900,-1099
LEC Winter Playoffs 2024,55565,2024-02-17,Movistar KOI,Team BDS,Team BDS,2244,-10000,-1315
LEC Winter Playoffs 2024,55566,2024-02-17,Team BDS,Movistar KOI,Team BDS,1955,5200,518
LEC Winter Playoffs 2024,55567,2024-02-17,Movistar KOI,Team BDS,Movistar KOI,1820,8500,1537
LEC Winter Playoffs 2024,55355,2024-02-16,Fnatic,Movistar KOI,Fnatic,1737,7400,5651
LEC Winter Playoffs 2024,55356,2024-02-16,Movistar KOI,Fnatic,Movistar KOI,2233,9300,2266
LEC Winter Playoffs 2024,55357,2024-02-16,Fnatic,Movistar KOI,Fnatic,2481,8800,331
LEC Winter Playoffs 2024,55358,2024-02-16,Movistar KOI,Fnatic,Movistar KOI,2007,-500,-1130
LEC Winter Playoffs 2024,55296,2024-02-12,Fnatic,SK Gaming,Fnatic,1570,5200,109
LEC Winter Playoffs 2024,55297,2024-02-12,SK Gaming,Fnatic,Fnatic,2015,-4300,2738
LEC Winter Playoffs 2024,55293,2024-02-12,Movistar KOI,Team Vitality,Movistar KOI,2006,9000,-142
LEC Winter Playoffs 2024,55288,2024-02-11,Team BDS,G2 Esports,G2 Esports,1899,-9100,567
LEC Winter Playoffs 2024,55289,2024-02-11,G2 Esports,Team BDS,G2 Esports,1714,11700,2911
LEC Winter Playoffs 2024,55036,2024-02-10,SK Gaming,Team Heretics,SK Gaming,2316,13500,2416
LEC Winter Playoffs 2024,55037,2024-02-10,Team Heretics,SK Gaming,SK Gaming,1810,-12700,-536
LEC Winter Playoffs 2024,55033,2024-02-10,Movistar KOI,GIANTX,Movistar KOI,1659,13000,2754
LEC Winter Playoffs 2024,55042,2024-02-05,Fnatic,G2 Esports,Fnatic,1843,9800,2763
LEC Winter Playoffs 2024,55043,2024-02-05,G2 Esports,Fnatic,G2 Esports,1815,3900,-1055
LEC Winter Playoffs 2024,55039,2024-02-05,Team Vitality,Team BDS,Team BDS,2037,-7700,-108
LEC Winter Playoffs 2024,54703,2024-02-04,Movistar KOI,Fnatic,Fnatic,2902,-2300,-46
LEC Winter Playoffs 2024,54700,2024-02-04,Team Vitality,SK Gaming,Team Vitality,1693,8700,-82
LEC Winter Playoffs 2024,54697,2024-02-03,G2 Esports,GIANTX,G2 Esports,1350,17800,7245
LEC Winter Playoffs 2024,54694,2024-02-03,Team BDS,Team Heretics,Team BDS,1912,8300,-880
LEC Spring Season 2024,57447,2024-03-25,Natus Vincere,SK Gaming,SK Gaming,1751,-10500,1434
LEC Spring Season 2024,57280,2024-03-25,Karmine Corp,Team BDS,Team BDS,1748,-11600,-3615
LEC Spring Season 2024,57279,2024-03-25,G2 Esports,Team Vitality,Team Vitality,1603,-9100,-2025
LEC Spring Season 2024,57278,2024-03-25,Fnatic,Movistar KOI,Movistar KOI,1466,-9800,-3045
LEC Spring Season 2024,57277,2024-03-25,Natus Vincere,SK Gaming,Natus Vincere,1623,12800,476
LEC Spring Season 2024,57276,2024-03-25,Team Heretics,GIANTX,GIANTX,1890,-11000,63
LEC Spring Season 2024,57275,2024-03-23,Karmine Corp,Team Heretics,Team Heretics,1879,-12500,572
LEC Spring Season 2024,57274,2024-03-23,Natus Vincere,G2 Esports,Natus Vincere,2226,7000,1652
LEC Spring Season 2024,57273,2024-03-23,Team BDS,Movistar KOI,Movistar KOI,1806,-7100,-921
LEC Spring Season 2024,57272,2024-03-23,Team Vitality,GIANTX,GIANTX,2196,-10800,70
LEC Spring Season 2024,57271,2024-03-23,SK Gaming,Fnatic,Fnatic,2039,-11700,-2700
LEC Spring Season 2024,57270,2024-03-22,Team Vitality,Karmine Corp,Team Vitality,1697,12900,3034
LEC Spring Season 2024,57269,2024-03-22,Movistar KOI,Team Heretics,Team Heretics,1950,-12700,230
LEC Spring Season 2024,57268,2024-03-22,G2 Esports,SK Gaming,G2 Esports,1688,15400,1980
LEC Spring Season 2024,57267,2024-03-22,Team BDS,Fnatic,Team BDS,2164,12300,-490
LEC Spring Season 2024,57266,2024-03-22,GIANTX,Natus Vincere,GIANTX,1743,9900,-28
LEC Spring Season 2024,56858,2024-03-18,SK Gaming,Karmine Corp,SK Gaming,2528,3600,610
LEC Spring Season 2024,56857,2024-03-18,Natus Vincere,Movistar KOI,Movistar KOI,1700,-13800,-3049
LEC Spring Season 2024,56856,2024-03-18,G2 Esports,GIANTX,G2 Esports,1656,13600,2917
LEC Spring Season 2024,56855,2024-03-18,Team Vitality,Fnatic,Fnatic,1732,-8200,-100
LEC Spring Season 2024,56854,2024-03-18,Team BDS,Team Heretics,Team Heretics,2003,-13900,374
LEC Spring Season 2024,56853,2024-03-17,Fnatic,G2 Esports,Fnatic,2022,17400,3554
LEC Spring Season 2024,56852,2024-03-17,Team Heretics,SK Gaming,Team Heretics,2410,5400,1912
LEC Spring Season 2024,56851,2024-03-17,Movistar KOI,Karmine Corp,Karmine Corp,1979,-10900,-280
LEC Spring Season 2024,56850,2024-03-17,Natus Vincere,Team Vitality,Team Vitality,2286,-6800,-2460
LEC Spring Season 2024,56849,2024-03-17,GIANTX,Team BDS,Team BDS,1962,-8000,13
LEC Spring Season 2024,56848,2024-03-16,Karmine Corp,Natus Vincere,Natus Vincere,2004,-10200,-2934
LEC Spring Season 2024,56847,2024-03-16,Movistar KOI,Team Vitality,Team Vitality,2340,-9600,1912
LEC Spring Season 2024,56846,2024-03-16,G2 Esports,Team Heretics,G2 Esports,1792,13300,2090
LEC Spring Season 2024,56845,2024-03-16,GIANTX,Fnatic,Fnatic,1626,-10000,-1683
LEC Spring Season 2024,56844,2024-03-16,SK Gaming,Team BDS,Team BDS,2329,-4000,1616
LEC Spring Season 2024,56167,2024-03-11,G2 Esports,Karmine Corp,G2 Esports,1815,3600,-3174
LEC Spring Season 2024,56166,2024-03-11,Team Heretics,Fnatic,Team Heretics,2508,5600,-5020
LEC Spring Season 2024,56165,2024-03-11,GIANTX,Movistar KOI,GIANTX,1627,8300,-3858
LEC Spring Season 2024,56164,2024-03-11,SK Gaming,Team Vitality,SK Gaming,1388,17300,5649
LEC Spring Season 2024,56163,2024-03-11,Natus Vincere,Team BDS,Team BDS,1958,-7300,148
LEC Spring Season 2024,56162,2024-03-10,Movistar KOI,G2 Esports,G2 Esports,1688,-8500,-4106
LEC Spring Season 2024,56161,2024-03-10,GIANTX,SK Gaming,SK Gaming,2137,-12700,-157
LEC Spring Season 2024,56160,2024-03-10,Fnatic,Karmine Corp,Fnatic,1949,8800,2013
LEC Spring Season 2024,56159,2024-03-10,Team Heretics,Natus Vincere,Team Heretics,1949,12100,2337
LEC Spring Season 2024,56158,2024-03-10,Team Vitality,Team BDS,Team Vitality,2071,13400,1216
LEC Spring Season 2024,56157,2024-03-09,Movistar KOI,SK Gaming,Movistar KOI,2207,11100,2423
LEC Spring Season 2024,56156,2024-03-09,Karmine Corp,GIANTX,Karmine Corp,1914,16900,754
LEC Spring Season 2024,56155,2024-03-09,Team BDS,G2 Esports,G2 Esports,2297,-7000,-1461
LEC Spring Season 2024,56154,2024-03-09,Fnatic,Natus Vincere,Fnatic,1837,10200,1111
LEC Spring Season 2024,56153,2024-03-09,Team Vitality,Team Heretics,Team Vitality,2162,9100,-23
LEC Spring Playoffs 2024,57862,2024-04-14,G2 Esports,Fnatic,Fnatic,1711,-14100,641
LEC Spring Playoffs 2024,57814,2024-04-13,Team BDS,Fnatic,Team BDS,1909,16300,3111
LEC Spring Playoffs 2024,57789,2024-04-08,Fnatic,Team Vitality,Team Vitality,1860,-14200,-648
LEC Spring Playoffs 2024,57673,2024-04-07,G2 Esports,Team BDS,G2 Esports,2402,2200,-1556
LEC Spring Playoffs 2024,57786,2024-04-06,Team Vitality,Movistar KOI,Team Vitality,1587,2500,-1883
LEC Spring Playoffs 2024,57783,2024-04-06,Fnatic,Team Heretics,Team Heretics,1606,-12200,-518
LEC Spring Playoffs 2024,57639,2024-04-02,GIANTX,Movistar KOI,GIANTX,1889,12200,2312
LEC Spring Playoffs 2024,57636,2024-04-02,Team Heretics,SK Gaming,SK Gaming,1776,-6400,-2972
LEC Spring Playoffs 2024,57660,2024-04-01,Fnatic,G2 Esports,G2 Esports,1538,-13700,-1936
LEC Spring Playoffs 2024,57657,2024-04-01,Team Vitality,Team BDS,Team Vitality,1857,9500,2435
LEC Spring Playoffs 2024,57457,2024-03-31,G2 Esports,Movistar KOI,G2 Esports,1686,8500,-309
LEC Spring Playoffs 2024,57454,2024-03-31,Team Heretics,Team BDS,Team BDS,2124,-11200,-1966
LEC Spring Playoffs 2024,57451,2024-03-30,Fnatic,GIANTX,Fnatic,1722,10000,441
LEC Spring Playoffs 2024,57448,2024-03-30,Team Vitality,SK Gaming,SK Gaming,1893,-5200,2456
LEC Spring Playoffs 2024,57863,2024-04-14,G2 Esports,Fnatic,G2 Esports,1746,7900,1338
LEC Spring Playoffs 2024,57864,2024-04-14,Fnatic,G2 Esports,G2 Esports,1664,-10900,-887
LEC Spring Playoffs 2024,57865,2024-04-14,Fnatic,G2 Esports,G2 Esports,2097,-10500,-1165
LEC Spring Playoffs 2024,57815,2024-04-13,Team BDS,Fnatic,Team BDS,1879,11200,3393
LEC Spring Playoffs 2024,57816,2024-04-13,Fnatic,Team BDS,Fnatic,2124,10500,3101
LEC Spring Playoffs 2024,57817,2024-04-13,Team BDS,Fnatic,Fnatic,1510,-10400,1228
LEC Spring Playoffs 2024,57818,2024-04-13,Fnatic,Team BDS,Fnatic,1997,5000,335
LEC Spring Playoffs 2024,57790,2024-04-08,Fnatic,Team Vitality,Fnatic,1837,10100,1235
LEC Spring Playoffs 2024,57791,2024-04-08,Team Vitality,Fnatic,Fnatic,1479,-15500,-34
LEC Spring Playoffs 2024,57792,2024-04-08,Fnatic,Team Vitality,Fnatic,2548,2800,-1203
LEC Spring Playoffs 2024,57674,2024-04-07,Team BDS,G2 Esports,Team BDS,1970,14500,1065
LEC Spring Playoffs 2024,57675,2024-04-07,G2 Esports,Team BDS,G2 Esports,1300,13100,6013
LEC Spring Playoffs 2024,57676,2024-04-07,Team BDS,G2 Esports,G2 Esports,2023,-3500,-495
LEC Spring Playoffs 2024,57787,2024-04-06,Team Vitality,Movistar KOI,Team Vitality,1909,10200,-858
LEC Spring Playoffs 2024,57784,2024-04-06,Team Heretics,Fnatic,Fnatic,1947,-9400,-1024
LEC Spring Playoffs 2024,57785,2024-04-06,Fnatic,Team Heretics,Fnatic,1806,10100,3205
LEC Spring Playoffs 2024,57640,2024-04-02,GIANTX,Movistar KOI,Movistar KOI,1616,-9000,-200
LEC Spring Playoffs 2024,57641,2024-04-02,Movistar KOI,GIANTX,Movistar KOI,2170,9800,1663
LEC Spring Playoffs 2024,57637,2024-04-02,SK Gaming,Team Heretics,Team Heretics,1849,-9000,2077
LEC Spring Playoffs 2024,57638,2024-04-02,SK Gaming,Team Heretics,Team Heretics,1659,-10500,-706
LEC Spring Playoffs 2024,57661,2024-04-01,G2 Esports,Fnatic,G2 Esports,1264,7200,1486
LEC Spring Playoffs 2024,57658,2024-04-01,Team BDS,Team Vitality,Team BDS,1684,12200,-2161
LEC Spring Playoffs 2024,57659,2024-04-01,Team Vitality,Team BDS,Team BDS,2048,-7200,1916
LEC Spring Playoffs 2024,57458,2024-03-31,Movistar KOI,G2 Esports,G2 Esports,1882,-3000,504
LEC Spring Playoffs 2024,57455,2024-03-31,Team Heretics,Team BDS,Team BDS,1503,-15100,-281
LEC Spring Playoffs 2024,57452,2024-03-30,Fnatic,GIANTX,Fnatic,1648,5900,613
LEC Spring Playoffs 2024,57449,2024-03-30,Team Vitality,SK Gaming,Team Vitality,2279,7400,-624
LEC Spring Playoffs 2024,57450,2024-03-30,SK Gaming,Team Vitality,Team Vitality,1755,-9300,-5041
LEC Summer Season 2024,60158,2024-06-30,Movistar KOI,Team Vitality,Movistar KOI,1587,14600,
LEC Summer Season 2024,60157,2024-06-30,Movistar KOI,Natus Vincere,Movistar KOI,1926,9800,-39
LEC Summer Season 2024,59831,2024-06-30,GIANTX,Karmine Corp,Karmine Corp,1978,-8300,-2480
LEC Summer Season 2024,59830,2024-06-30,Team Heretics,G2 Esports,G2 Esports,2490,-7900,-624
LEC Summer Season 2024,59829,2024-06-30,Team BDS,Fnatic,Team BDS,1794,10200,549
LEC Summer Season 2024,59828,2024-06-30,Movistar KOI,Natus Vincere,Movistar KOI,2622,6500,2365
LEC Summer Season 2024,59827,2024-06-30,Team Vitality,SK Gaming,SK Gaming,1999,-1600,-762
LEC Summer Season 2024,59826,2024-06-29,Movistar KOI,Team BDS,Team BDS,1990,-15800,-1645
LEC Summer Season 2024,59825,2024-06-29,SK Gaming,Karmine Corp,SK Gaming,1985,11500,-271
LEC Summer Season 2024,59824,2024-06-29,G2 Esports,Team Vitality,G2 Esports,1432,9900,2563
LEC Summer Season 2024,59823,2024-06-29,Natus Vincere,GIANTX,GIANTX,2232,-8400,1987
LEC Summer Season 2024,59822,2024-06-29,Fnatic,Team Heretics,Team Heretics,1843,-7900,-1648
LEC Summer Season 2024,59437,2024-06-23,Karmine Corp,Team Vitality,Karmine Corp,1805,8100,-58
LEC Summer Season 2024,59436,2024-06-23,SK Gaming,Movistar KOI,SK Gaming,1722,9800,-2243
LEC Summer Season 2024,59435,2024-06-23,Fnatic,G2 Esports,G2 Esports,1871,-10800,523
LEC Summer Season 2024,59434,2024-06-23,GIANTX,Team BDS,Team BDS,1762,-16400,-2417
LEC Summer Season 2024,59433,2024-06-23,Natus Vincere,Team Heretics,Natus Vincere,2064,5300,1964
LEC Summer Season 2024,59432,2024-06-22,Movistar KOI,Fnatic,Fnatic,1898,-11400,-1915
LEC Summer Season 2024,59431,2024-06-22,G2 Esports,Karmine Corp,G2 Esports,1828,15300,4980
LEC Summer Season 2024,59430,2024-06-22,Team Vitality,GIANTX,GIANTX,2130,-7700,535
LEC Summer Season 2024,59429,2024-06-22,Team Heretics,SK Gaming,SK Gaming,1508,-12700,-1982
LEC Summer Season 2024,59428,2024-06-22,Team BDS,Natus Vincere,Team BDS,1717,14300,1396
LEC Summer Season 2024,59029,2024-06-16,Karmine Corp,Team BDS,Team BDS,2348,-8500,-2215
LEC Summer Season 2024,59028,2024-06-16,SK Gaming,Fnatic,Fnatic,2238,-6800,434
LEC Summer Season 2024,59027,2024-06-16,GIANTX,Movistar KOI,GIANTX,1672,11800,1077
LEC Summer Season 2024,59026,2024-06-16,Natus Vincere,G2 Esports,G2 Esports,1907,-7700,-1663
LEC Summer Season 2024,59025,2024-06-16,Team Vitality,Team Heretics,Team Vitality,1849,14500,3416
LEC Summer Season 2024,59024,2024-06-15,G2 Esports,GIANTX,G2 Esports,2045,1100,-1651
LEC Summer Season 2024,59023,2024-06-15,Team Heretics,Karmine Corp,Team Heretics,2097,12200,994
LEC Summer Season 2024,59022,2024-06-15,Movistar KOI,Team Vitality,Team Vitality,1749,-9300,-1273
LEC Summer Season 2024,59021,2024-06-15,Fnatic,Natus Vincere,Fnatic,1683,12600,1540
LEC Summer Season 2024,59020,2024-06-15,Team BDS,SK Gaming,SK Gaming,2193,-9900,525
LEC Summer Season 2024,58859,2024-06-10,Team Heretics,Movistar KOI,Movistar KOI,1987,-7600,-4528
LEC Summer Season 2024,58858,2024-06-10,Natus Vincere,Karmine Corp,Karmine Corp,2017,-7300,-103
LEC Summer Season 2024,58857,2024-06-10,Team BDS,G2 Esports,Team BDS,2582,5900,606
LEC Summer Season 2024,58856,2024-06-10,GIANTX,SK Gaming,SK Gaming,2448,-6300,1959
LEC Summer Season 2024,58855,2024-06-10,Fnatic,Team Vitality,Fnatic,1708,10100,775
LEC Summer Season 2024,58854,2024-06-09,G2 Esports,SK Gaming,SK Gaming,2409,-2000,-2234
LEC Summer Season 2024,58853,2024-06-09,Fnatic,GIANTX,Fnatic,2226,12300,2978
LEC Summer Season 2024,58852,2024-06-09,Karmine Corp,Movistar KOI,Karmine Corp,2471,-1000,-1496
LEC Summer Season 2024,58851,2024-06-09,Natus Vincere,Team Vitality,Natus Vincere,2542,600,-2933
LEC Summer Season 2024,58850,2024-06-09,Team BDS,Team Heretics,Team BDS,1676,5500,2701
LEC Summer Season 2024,58232,2024-06-08,Karmine Corp,Fnatic,Fnatic,1723,-4200,551
LEC Summer Season 2024,58231,2024-06-08,Movistar KOI,G2 Esports,G2 Esports,1939,-8800,1710
LEC Summer Season 2024,58230,2024-06-08,Team Vitality,Team BDS,Team BDS,2026,-3800,1504
LEC Summer Season 2024,58229,2024-06-08,SK Gaming,Natus Vincere,SK Gaming,2203,11400,141
LEC Summer Season 2024,58228,2024-06-08,Team Heretics,GIANTX,Team Heretics,2320,12300,762
LEC Summer Playoffs 2024,61386,2024-07-28,Fnatic,G2 Esports,G2 Esports,2149,-5700,2106
LEC Summer Playoffs 2024,61359,2024-07-27,G2 Esports,Team BDS,Team BDS,2032,-7300,865
LEC Summer Playoffs 2024,61238,2024-07-26,Team BDS,Karmine Corp,Karmine Corp,2550,-4100,1277
LEC Summer Playoffs 2024,61182,2024-07-23,SK Gaming,Karmine Corp,Karmine Corp,1923,-1200,849
LEC Summer Playoffs 2024,61179,2024-07-23,Team BDS,GIANTX,Team BDS,2725,3900,1076
LEC Summer Playoffs 2024,61174,2024-07-22,G2 Esports,Fnatic,G2 Esports,1618,9000,2880
LEC Summer Playoffs 2024,60640,2024-07-21,Karmine Corp,Movistar KOI,Karmine Corp,1893,9600,-1813
LEC Summer Playoffs 2024,60637,2024-07-21,Team Heretics,GIANTX,GIANTX,1970,-7900,2228
LEC Summer Playoffs 2024,60646,2024-07-14,G2 Esports,Team BDS,G2 Esports,1835,12000,2448
LEC Summer Playoffs 2024,60643,2024-07-14,SK Gaming,Fnatic,Fnatic,1880,-9900,979
LEC Summer Playoffs 2024,60270,2024-07-13,G2 Esports,Karmine Corp,G2 Esports,2597,6000,2665
LEC Summer Playoffs 2024,60267,2024-07-13,Fnatic,GIANTX,GIANTX,2070,-5000,-201
LEC Summer Playoffs 2024,60264,2024-07-12,Team BDS,Movistar KOI,Movistar KOI,2160,-5800,-863
LEC Summer Playoffs 2024,60261,2024-07-12,SK Gaming,Team Heretics,SK Gaming,1600,9700,643
LEC Summer Playoffs 2024,61387,2024-07-28,Fnatic,G2 Esports,G2 Esports,2107,-5200,2782
LEC Summer Playoffs 2024,61388,2024-07-28,Fnatic,G2 Esports,G2 Esports,1759,-1100,6592
LEC Summer Playoffs 2024,61360,2024-07-27,G2 Esports,Team BDS,G2 Esports,2020,3900,-4611
LEC Summer Playoffs 2024,61361,2024-07-27,G2 Esports,Team BDS,G2 Esports,1980,9500,-2601
LEC Summer Playoffs 2024,61362,2024-07-27,Team BDS,G2 Esports,G2 Esports,2476,-2600,399
